;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y18803;0.35222;0.39211;0.32417;0.39211
y18804;0.24471;0.48637;0.18746;0.48637
y18805;0.22850;0.45163;0.28901;0.45163
y18806;0.20785;0.21771;0.32151;0.21771
y18807;0.22415;0.44800;0.23754;0.44800
y18808;0.25018;0.54968;0.26761;0.54968
y18809;0.31618;0.45941;0.41379;0.45941
y18810;0.20368;0.40006;0.23150;0.40006
y18811;0.29997;0.41069;0.27383;0.41069
y18812;0.26149;0.30330;0.22306;0.30330
y18813;0.25768;0.31109;0.31621;0.31109
y18814;0.19771;0.35724;0.23253;0.35724
y18815;0.22038;0.33891;0.24163;0.33891
y18816;0.26454;0.32723;0.32114;0.32723
y18817;0.24362;0.50212;0.23484;0.50212
y18818;0.24966;0.44375;0.23730;0.44375
y18819;0.24656;0.36476;0.24618;0.36476
y18820;0.24147;0.59026;0.23503;0.59026
y18821;0.22627;0.42110;0.23974;0.42110
y18822;0.24573;0.48099;0.20787;0.48099
y18823;0.23313;0.38449;0.23350;0.38449
y18824;0.26382;0.24002;0.32936;0.24002
y18825;0.26428;0.39528;0.26597;0.39528
y18826;0.25073;0.30755;0.22770;0.30755
y18827;0.21826;0.35191;0.20085;0.35191
y18828;0.24603;0.24952;0.24567;0.24952
y18829;0.21768;0.29225;0.21102;0.29225
y18830;0.21448;0.22363;0.21720;0.22363
y18831;0.28436;0.44825;0.23938;0.44825
y18832;0.24148;0.49010;0.24185;0.49010
y18833;0.24990;0.31433;0.27921;0.31433
y18834;0.32788;0.49019;0.27088;0.49019
y18835;0.29736;0.37827;0.19211;0.37827
y18836;0.24107;0.49512;0.24374;0.49512
y18837;0.27103;0.28961;0.26602;0.28961
y18838;0.38408;0.42780;0.30376;0.42780
y18839;0.24464;0.31294;0.25517;0.31294
y18840;0.21110;0.29564;0.22952;0.29564
y18841;0.19710;0.21735;0.22644;0.21735
y18842;0.19529;0.44058;0.25076;0.44058
y18843;0.27654;0.31689;0.30650;0.31689
y18844;0.28771;0.43115;0.28684;0.43115
y18845;0.16545;0.39130;0.24838;0.39130
y18846;0.22059;0.24629;0.22940;0.24629
y18847;0.29645;0.45097;0.31906;0.45097
y18848;0.26707;0.24676;0.21771;0.24676
y18849;0.24729;0.33289;0.25609;0.33289
y18850;0.29542;0.31282;0.21669;0.31282
y18851;0.23629;0.43926;0.28719;0.43926
y18852;0.24513;0.28884;0.22660;0.28884
y18853;0.27601;0.32518;0.32512;0.32518
y18854;0.24928;0.29491;0.33750;0.29491
y18855;0.20553;0.23811;0.27485;0.23811
y18856;0.16711;0.17935;0.14216;0.17935
y18857;0.25156;0.38549;0.21906;0.38549
y18858;0.25818;0.41608;0.25752;0.41608
y18859;0.27511;0.35118;0.25113;0.35118
y18860;0.24109;0.49905;0.26855;0.49905
y18861;0.26846;0.28297;0.26568;0.28297
y18862;0.24894;0.38489;0.24879;0.38489
y18863;0.21174;0.32261;0.23373;0.32261
y18864;0.23728;0.55580;0.28632;0.55580
y18865;0.14521;0.15593;0.14450;0.15593
y18866;0.20938;0.25467;0.20619;0.25467
y18867;0.22049;0.27800;0.26206;0.27800
y18868;0.27286;0.47130;0.26664;0.47130
y18869;0.24279;0.38267;0.29198;0.38267
y18870;0.35045;0.45969;0.32792;0.45969
y18871;0.38602;0.41704;0.24408;0.41704
y18872;0.22553;0.52795;0.17634;0.52795
y18873;0.21339;0.24535;0.24828;0.24535
y18874;0.21941;0.40729;0.20942;0.40729
y18875;0.22701;0.43513;0.22758;0.43513
y18876;0.22974;0.33138;0.23167;0.33138
y18877;0.24998;0.52282;0.21338;0.52282
y18878;0.25344;0.32706;0.19953;0.32706
y18879;0.23962;0.42144;0.22966;0.42144
y18880;0.23145;0.44460;0.25010;0.44460
y18881;0.33952;0.45564;0.32944;0.45564
y18882;0.20431;0.53639;0.27089;0.53639
y18883;0.25591;0.27720;0.34979;0.27720
y18884;0.20347;0.26453;0.23822;0.26453
y18885;0.27252;0.33095;0.22775;0.33095
y18886;0.22781;0.44027;0.22502;0.44027
y18887;0.25287;0.41964;0.22950;0.41964
y18888;0.22501;0.38563;0.29884;0.38563
y18889;0.26430;0.29679;0.27545;0.29679
y18890;0.25264;0.45827;0.27685;0.45827
y18891;0.25403;0.48016;0.20127;0.48016
y18892;0.28486;0.31757;0.25686;0.31757
y18893;0.25263;0.41714;0.35634;0.41714
y18894;0.26519;0.32743;0.24018;0.32743
y18895;0.23559;0.46361;0.19597;0.46361
y18896;0.27746;0.45569;0.23701;0.45569
y18897;0.24724;0.23178;0.24693;0.23178
y18898;0.24666;0.45196;0.24646;0.45196
y18899;0.24114;0.31476;0.19557;0.31476
y18900;0.21873;0.22541;0.20195;0.22541
y18901;0.25061;0.34210;0.22942;0.34210
y18902;0.18712;0.39822;0.26592;0.39822
y18903;0.19513;0.23934;0.27126;0.23934
y18904;0.20581;0.28266;0.23193;0.28266
y18905;0.27192;0.46062;0.23701;0.46062
y18906;0.23538;0.41045;0.29946;0.41045
y18907;0.22324;0.27218;0.26292;0.27218
y18908;0.25259;0.32465;0.24673;0.32465
y18909;0.19061;0.16121;0.19281;0.16121
y18910;0.19074;0.35410;0.24435;0.35410
y18911;0.24685;0.41547;0.25653;0.41547
y18912;0.23389;0.21901;0.23110;0.21901
y18913;0.28281;0.23367;0.24795;0.23367
y18914;0.25649;0.25882;0.20834;0.25882
y18915;0.28707;0.31567;0.23453;0.31567
y18916;0.20882;0.43110;0.21714;0.43110
y18917;0.23804;0.36892;0.21940;0.36892
y18918;0.20083;0.18896;0.22218;0.18896
y18919;0.23316;0.24932;0.22732;0.24932
y18920;0.22830;0.27623;0.20248;0.27623
y18921;0.30791;0.38103;0.29276;0.38103
y18922;0.20131;0.24729;0.27357;0.24729
y18923;0.25586;0.29712;0.22712;0.29712
y18924;0.25227;0.41024;0.31166;0.41024
y18925;0.23956;0.22567;0.21785;0.22567
y18926;0.14744;0.21178;0.17968;0.21178
y18927;0.25982;0.40660;0.33738;0.40660
y18928;0.37462;0.47613;0.37788;0.47613
y18929;0.24172;0.33802;0.25535;0.33802
y18930;0.29093;0.44064;0.25847;0.44064
y18931;0.23077;0.43121;0.25497;0.43121
y18932;0.26774;0.26416;0.32727;0.26416
y18933;0.23956;0.43275;0.21153;0.43275
y18934;0.28167;0.49008;0.23751;0.49008
y18935;0.25369;0.45279;0.29847;0.45279
y18936;0.23984;0.23740;0.22945;0.23740
y18937;0.25010;0.36559;0.31917;0.36559
y18938;0.24841;0.27862;0.23277;0.27862
y18939;0.27839;0.38525;0.25665;0.38525
y18940;0.27479;0.48379;0.23706;0.48379
y18941;0.22671;0.32457;0.20420;0.32457
y18942;0.36298;0.52399;0.40037;0.52399
y18943;0.20725;0.45166;0.28354;0.45166
